"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Validate that the Dashboard sidebar menu contains Admin, PIM, Leave, Time, Recruitment, My Info, Performance, Dashboard, and Directory","3350","Validate Dashboard Sidebar Menu","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.DashboardTest","Smoke Dashboard","Tests.DashboardTest","verifySidebarMenu"
"Validate that the Add User page contains User Role, Employee Name, Username, and Password fields","6586","Validate Add User Page Content","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.AdminTest","Smoke Admin","Tests.AdminTest","validateAddUserContent"
"Validate the OrangeHRM footer link and verify that it opens the official OrangeHRM website in a new tab","7367","Validate OrangeHRM Footer Link","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.DashboardTest","Smoke Dashboard","Tests.DashboardTest","verifyOrangeHrmFooterLink"
"Validate that an employee cannot be added with an empty first name field","6787","Validate Add Employee with Empty First Name","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.PIM_Test","Smoke PIM","Tests.PIM_Test","validateAddEmployeeWithEmptyField"
"Validate successful end-to-end functionality by adding a new employee and searching for the employee in the list","7730","Validate Successful End-to-End Employee Creation and Search","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.PIM_Test","Smoke PIM","Tests.PIM_Test","validateEndtoEndFunctionality"
"Validate failed login when username and password fields are empty","3086","Validate Failed Login with Empty Fields","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.LoginTest","Smoke Login","Tests.LoginTest","validateFailedLoginEmptyFields"
"Validate Add Employee page URL and verify first name and last name input fields","5448","Validate Add Employee Page","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.PIM_Test","Smoke PIM","Tests.PIM_Test","validateAddEmployeePage"
"Validate failed login using invalid credentials","3040","Validate Failed Login with Invalid Credentials","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.LoginTest","Smoke Login","Tests.LoginTest","validateFailedLoginInvalidCredentials"
"Validate successful search for an existing employee by name","5041","Validate Successful Search for Employee by Name","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.PIM_Test","Smoke PIM","Tests.PIM_Test","validateSearchForExistingEmployee"
"Validate failed search for a non-existing employee by name","4964","Validate Failed Search for Non-Existing Employee by Name","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.PIM_Test","Smoke PIM","Tests.PIM_Test","validateSearchForNonExistingEmployee"
"Validate successful login using valid credentials","3147","Validate Successful Login","AutomationOrangeHRM","2026-08-28","passed","2026-08-28","Tests.LoginTest","Smoke Login","Tests.LoginTest","validateSuccessfulLogin"
